Epoch: [0][1340/5052], lr: 0.00100	Time 2.154 (2.159)	Data 1.656 (1.663)	Loss 1.1075 (1.5344)	Prec@1 62.500 (57.016)	Prec@5 83.333 (84.110)
Epoch: [0][1360/5052], lr: 0.00100	Time 2.134 (2.159)	Data 1.631 (1.663)	Loss 1.3344 (1.5321)	Prec@1 62.500 (57.038)	Prec@5 91.667 (84.151)
Epoch: [0][1380/5052], lr: 0.00100	Time 2.155 (2.159)	Data 1.651 (1.663)	Loss 1.6215 (1.5293)	Prec@1 54.167 (57.063)	Prec@5 66.667 (84.208)
Epoch: [0][1400/5052], lr: 0.00100	Time 2.164 (2.159)	Data 1.685 (1.663)	Loss 1.4985 (1.5265)	Prec@1 58.333 (57.132)	Prec@5 83.333 (84.252)
Epoch: [0][1420/5052], lr: 0.00100	Time 2.012 (2.159)	Data 1.538 (1.663)	Loss 0.9075 (1.5224)	Prec@1 79.167 (57.190)	Prec@5 95.833 (84.327)
Epoch: [0][1440/5052], lr: 0.00100	Time 2.253 (2.159)	Data 1.762 (1.663)	Loss 1.7475 (1.5179)	Prec@1 62.500 (57.298)	Prec@5 87.500 (84.409)
Epoch: [0][1460/5052], lr: 0.00100	Time 2.168 (2.159)	Data 1.662 (1.663)	Loss 1.3899 (1.5132)	Prec@1 58.333 (57.415)	Prec@5 91.667 (84.488)
Epoch: [0][1480/5052], lr: 0.00100	Time 2.202 (2.160)	Data 1.697 (1.664)	Loss 1.0791 (1.5106)	Prec@1 66.667 (57.416)	Prec@5 100.000 (84.543)
Epoch: [0][1500/5052], lr: 0.00100	Time 2.233 (2.160)	Data 1.743 (1.664)	Loss 1.1675 (1.5060)	Prec@1 62.500 (57.501)	Prec@5 87.500 (84.627)
Epoch: [0][1520/5052], lr: 0.00100	Time 2.203 (2.160)	Data 1.713 (1.664)	Loss 1.0775 (1.5020)	Prec@1 58.333 (57.569)	Prec@5 91.667 (84.703)
Epoch: [0][1540/5052], lr: 0.00100	Time 2.302 (2.160)	Data 1.797 (1.664)	Loss 1.2818 (1.4988)	Prec@1 58.333 (57.657)	Prec@5 95.833 (84.785)
