Epoch: [0][1280/3789], lr: 0.00100	Time 3.974 (4.339)	Data 3.464 (3.841)	Loss 0.9528 (1.5062)	Prec@1 68.750 (57.384)	Prec@5 93.750 (84.792)
Epoch: [0][1300/3789], lr: 0.00100	Time 4.047 (4.338)	Data 3.570 (3.840)	Loss 1.1347 (1.5024)	Prec@1 75.000 (57.468)	Prec@5 84.375 (84.848)
Epoch: [0][1320/3789], lr: 0.00100	Time 3.740 (4.338)	Data 3.249 (3.841)	Loss 0.9539 (1.4989)	Prec@1 68.750 (57.551)	Prec@5 93.750 (84.917)
Epoch: [0][1340/3789], lr: 0.00100	Time 3.990 (4.337)	Data 3.503 (3.840)	Loss 1.0841 (1.4958)	Prec@1 71.875 (57.611)	Prec@5 93.750 (84.958)
Epoch: [0][1360/3789], lr: 0.00100	Time 6.429 (4.339)	Data 5.941 (3.841)	Loss 1.2234 (1.4919)	Prec@1 62.500 (57.717)	Prec@5 87.500 (85.004)
Epoch: [0][1380/3789], lr: 0.00100	Time 4.045 (4.337)	Data 3.558 (3.840)	Loss 1.1192 (1.4888)	Prec@1 71.875 (57.775)	Prec@5 87.500 (85.054)
Epoch: [0][1400/3789], lr: 0.00100	Time 3.974 (4.336)	Data 3.493 (3.839)	Loss 1.0302 (1.4863)	Prec@1 65.625 (57.807)	Prec@5 96.875 (85.122)
Epoch: [0][1420/3789], lr: 0.00100	Time 3.506 (4.335)	Data 3.035 (3.839)	Loss 1.4326 (1.4829)	Prec@1 53.125 (57.882)	Prec@5 87.500 (85.200)
Epoch: [0][1440/3789], lr: 0.00100	Time 3.707 (4.334)	Data 3.231 (3.837)	Loss 1.1666 (1.4787)	Prec@1 62.500 (57.978)	Prec@5 93.750 (85.262)
Epoch: [0][1460/3789], lr: 0.00100	Time 6.872 (4.335)	Data 6.375 (3.838)	Loss 1.5084 (1.4750)	Prec@1 65.625 (58.083)	Prec@5 87.500 (85.325)
Epoch: [0][1480/3789], lr: 0.00100	Time 4.029 (4.333)	Data 3.534 (3.837)	Loss 1.4584 (1.4726)	Prec@1 65.625 (58.132)	Prec@5 90.625 (85.363)
Epoch: [0][1500/3789], lr: 0.00100	Time 4.036 (4.331)	Data 3.563 (3.835)	Loss 1.1458 (1.4676)	Prec@1 62.500 (58.259)	Prec@5 90.625 (85.460)
Epoch: [0][1520/3789], lr: 0.00100	Time 4.143 (4.332)	Data 3.664 (3.836)	Loss 1.3569 (1.4646)	Prec@1 56.250 (58.329)	Prec@5 87.500 (85.528)
Epoch: [0][1540/3789], lr: 0.00100	Time 3.985 (4.332)	Data 3.499 (3.836)	Loss 1.5208 (1.4629)	Prec@1 50.000 (58.361)	Prec@5 84.375 (85.541)
Epoch: [0][1560/3789], lr: 0.00100	Time 3.775 (4.332)	Data 3.289 (3.837)	Loss 1.3738 (1.4605)	Prec@1 59.375 (58.406)	Prec@5 81.250 (85.582)
Epoch: [0][1580/3789], lr: 0.00100	Time 4.024 (4.332)	Data 3.537 (3.837)	Loss 1.3712 (1.4583)	Prec@1 65.625 (58.454)	Prec@5 84.375 (85.616)
Epoch: [0][1600/3789], lr: 0.00100	Time 3.989 (4.333)	Data 3.505 (3.837)	Loss 1.5100 (1.4557)	Prec@1 59.375 (58.489)	Prec@5 81.250 (85.673)
Epoch: [0][1620/3789], lr: 0.00100	Time 4.171 (4.333)	Data 3.673 (3.837)	Loss 1.5074 (1.4539)	Prec@1 59.375 (58.511)	Prec@5 75.000 (85.709)
Epoch: [0][1640/3789], lr: 0.00100	Time 4.130 (4.332)	Data 3.645 (3.837)	Loss 1.0611 (1.4510)	Prec@1 71.875 (58.571)	Prec@5 93.750 (85.759)
Epoch: [0][1660/3789], lr: 0.00100	Time 4.128 (4.333)	Data 3.656 (3.838)	Loss 1.1332 (1.4483)	Prec@1 68.750 (58.630)	Prec@5 90.625 (85.809)
Epoch: [0][1680/3789], lr: 0.00100	Time 4.008 (4.332)	Data 3.527 (3.837)	Loss 1.0899 (1.4458)	Prec@1 75.000 (58.667)	Prec@5 96.875 (85.855)
