Epoch: [0][1040/3789], lr: 0.00100	Time 4.406 (4.374)	Data 3.618 (3.587)	Loss 1.9234 (1.3293)	Prec@1 43.750 (60.603)	Prec@5 87.500 (88.332)
Epoch: [0][1060/3789], lr: 0.00100	Time 4.426 (4.372)	Data 3.671 (3.585)	Loss 1.7640 (1.3242)	Prec@1 56.250 (60.759)	Prec@5 81.250 (88.413)
Epoch: [0][1080/3789], lr: 0.00100	Time 4.446 (4.372)	Data 3.667 (3.586)	Loss 1.2681 (1.3212)	Prec@1 62.500 (60.809)	Prec@5 93.750 (88.486)
Epoch: [0][1100/3789], lr: 0.00100	Time 4.378 (4.371)	Data 3.602 (3.585)	Loss 0.9074 (1.3194)	Prec@1 75.000 (60.820)	Prec@5 90.625 (88.556)
Epoch: [0][1120/3789], lr: 0.00100	Time 4.201 (4.370)	Data 3.384 (3.583)	Loss 1.2296 (1.3148)	Prec@1 59.375 (60.922)	Prec@5 90.625 (88.615)
Epoch: [0][1140/3789], lr: 0.00100	Time 4.026 (4.369)	Data 3.270 (3.583)	Loss 1.3984 (1.3112)	Prec@1 59.375 (61.024)	Prec@5 84.375 (88.675)
Epoch: [0][1160/3789], lr: 0.00100	Time 4.580 (4.370)	Data 3.819 (3.583)	Loss 0.8685 (1.3058)	Prec@1 71.875 (61.149)	Prec@5 96.875 (88.749)
Epoch: [0][1180/3789], lr: 0.00100	Time 4.377 (4.370)	Data 3.619 (3.584)	Loss 1.1189 (1.3017)	Prec@1 65.625 (61.288)	Prec@5 90.625 (88.791)
Epoch: [0][1200/3789], lr: 0.00100	Time 4.307 (4.369)	Data 3.533 (3.583)	Loss 0.8137 (1.2974)	Prec@1 68.750 (61.373)	Prec@5 93.750 (88.837)
Epoch: [0][1220/3789], lr: 0.00100	Time 4.078 (4.368)	Data 3.284 (3.582)	Loss 0.5395 (1.2927)	Prec@1 87.500 (61.512)	Prec@5 100.000 (88.913)
Epoch: [0][1240/3789], lr: 0.00100	Time 4.396 (4.367)	Data 3.646 (3.581)	Loss 0.9985 (1.2872)	Prec@1 59.375 (61.626)	Prec@5 100.000 (89.016)
Epoch: [0][1260/3789], lr: 0.00100	Time 4.459 (4.367)	Data 3.707 (3.582)	Loss 1.4535 (1.2840)	Prec@1 56.250 (61.680)	Prec@5 87.500 (89.091)
Epoch: [0][1280/3789], lr: 0.00100	Time 4.262 (4.367)	Data 3.493 (3.582)	Loss 0.6340 (1.2803)	Prec@1 75.000 (61.778)	Prec@5 100.000 (89.154)
Epoch: [0][1300/3789], lr: 0.00100	Time 4.108 (4.365)	Data 3.326 (3.581)	Loss 1.4502 (1.2777)	Prec@1 65.625 (61.818)	Prec@5 87.500 (89.208)
Epoch: [0][1320/3789], lr: 0.00100	Time 3.920 (4.366)	Data 3.158 (3.581)	Loss 1.1430 (1.2741)	Prec@1 59.375 (61.894)	Prec@5 93.750 (89.265)
Epoch: [0][1340/3789], lr: 0.00100	Time 4.754 (4.366)	Data 3.921 (3.581)	Loss 1.0063 (1.2699)	Prec@1 68.750 (62.020)	Prec@5 90.625 (89.332)
Epoch: [0][1360/3789], lr: 0.00100	Time 4.050 (4.367)	Data 3.267 (3.582)	Loss 0.8918 (1.2658)	Prec@1 71.875 (62.128)	Prec@5 96.875 (89.399)
Epoch: [0][1380/3789], lr: 0.00100	Time 4.446 (4.367)	Data 3.626 (3.583)	Loss 0.5811 (1.2627)	Prec@1 78.125 (62.161)	Prec@5 100.000 (89.439)
Epoch: [0][1400/3789], lr: 0.00100	Time 4.011 (4.366)	Data 3.258 (3.582)	Loss 1.2516 (1.2610)	Prec@1 56.250 (62.219)	Prec@5 96.875 (89.485)
Epoch: [0][1420/3789], lr: 0.00100	Time 4.431 (4.365)	Data 3.662 (3.581)	Loss 0.6953 (1.2561)	Prec@1 75.000 (62.344)	Prec@5 96.875 (89.545)
Epoch: [0][1440/3789], lr: 0.00100	Time 4.613 (4.365)	Data 3.863 (3.581)	Loss 0.5541 (1.2532)	Prec@1 87.500 (62.422)	Prec@5 96.875 (89.604)
Epoch: [0][1460/3789], lr: 0.00100	Time 4.309 (4.365)	Data 3.508 (3.581)	Loss 0.5630 (1.2493)	Prec@1 81.250 (62.515)	Prec@5 100.000 (89.665)
Epoch: [0][1480/3789], lr: 0.00100	Time 4.510 (4.365)	Data 3.716 (3.582)	Loss 1.1244 (1.2455)	Prec@1 68.750 (62.589)	Prec@5 90.625 (89.718)
Epoch: [0][1500/3789], lr: 0.00100	Time 4.562 (4.365)	Data 3.780 (3.581)	Loss 0.8849 (1.2421)	Prec@1 78.125 (62.683)	Prec@5 96.875 (89.782)
Epoch: [0][1520/3789], lr: 0.00100	Time 4.004 (4.365)	Data 3.241 (3.581)	Loss 0.5059 (1.2383)	Prec@1 87.500 (62.773)	Prec@5 100.000 (89.844)
Epoch: [0][1540/3789], lr: 0.00100	Time 4.196 (4.364)	Data 3.429 (3.580)	Loss 1.5320 (1.2357)	Prec@1 43.750 (62.802)	Prec@5 84.375 (89.897)
Epoch: [0][1560/3789], lr: 0.00100	Time 4.332 (4.365)	Data 3.568 (3.581)	Loss 0.7495 (1.2326)	Prec@1 75.000 (62.860)	Prec@5 93.750 (89.938)
Epoch: [0][1580/3789], lr: 0.00100	Time 4.519 (4.364)	Data 3.740 (3.580)	Loss 1.1335 (1.2285)	Prec@1 62.500 (62.965)	Prec@5 96.875 (90.006)
Epoch: [0][1600/3789], lr: 0.00100	Time 4.592 (4.364)	Data 3.808 (3.580)	Loss 1.1526 (1.2263)	Prec@1 62.500 (62.972)	Prec@5 93.750 (90.067)
Epoch: [0][1620/3789], lr: 0.00100	Time 4.044 (4.361)	Data 3.269 (3.578)	Loss 0.9263 (1.2246)	Prec@1 68.750 (63.011)	Prec@5 90.625 (90.079)
Epoch: [0][1640/3789], lr: 0.00100	Time 4.356 (4.361)	Data 3.603 (3.578)	Loss 1.0412 (1.2234)	Prec@1 59.375 (63.018)	Prec@5 100.000 (90.107)
Epoch: [0][1660/3789], lr: 0.00100	Time 4.256 (4.361)	Data 3.459 (3.578)	Loss 0.7943 (1.2202)	Prec@1 71.875 (63.087)	Prec@5 100.000 (90.162)
Epoch: [0][1680/3789], lr: 0.00100	Time 4.116 (4.360)	Data 3.330 (3.577)	Loss 0.9740 (1.2172)	Prec@1 62.500 (63.141)	Prec@5 96.875 (90.207)
Epoch: [0][1700/3789], lr: 0.00100	Time 4.464 (4.360)	Data 3.677 (3.577)	Loss 0.6198 (1.2141)	Prec@1 84.375 (63.222)	Prec@5 93.750 (90.248)
Epoch: [0][1720/3789], lr: 0.00100	Time 4.584 (4.361)	Data 3.783 (3.578)	Loss 1.1652 (1.2110)	Prec@1 68.750 (63.301)	Prec@5 93.750 (90.293)
Epoch: [0][1740/3789], lr: 0.00100	Time 3.977 (4.361)	Data 3.195 (3.578)	Loss 0.7652 (1.2088)	Prec@1 78.125 (63.347)	Prec@5 93.750 (90.322)
